model,scheme,macro_f1,macro_f1_std,critical_recall,critical_recall_std,accuracy,balanced_accuracy,fraud_leak_rate,fit_seconds,predict_seconds,leakage_rows,parse_failures,parse_failure_rate
uniform_random,grouped,0.23669493022487362,0.05930674155787172,0.28500000000000003,0.1531253356602121,0.25069991404907016,0.24863575773212002,0.7150000000000001,0.00011702505580615252,0.00012301474489504472,0,0,0.0
most_frequent,grouped,0.14284719798343457,0.0017327654554190723,0.0,0.0,0.39999228395061737,0.25,1.0,9.091665269806981e-05,9.405399905517697e-05,0,0,0.0
embedding_logreg,naive,0.9980158730158731,0.008873285624999182,0.99,0.04472135954999579,0.99875,0.9974999999999999,0.009999999999999998,0.004437706449243706,0.00020439994987100362,1537,0,0.0
logistic_regression,naive,0.9970531002302504,0.009656718864390243,0.985,0.04893604849295929,0.9981249999999999,0.9962500000000001,0.014999999999999996,0.13175546460261103,0.003749735446763225,1537,0,0.0
passive_aggressive,naive,0.9970201404411931,0.009716253447225159,0.985,0.04893604849295929,0.9981249999999999,0.9962500000000001,0.014999999999999996,0.028855025103257503,0.00407534784899326,1537,0,0.0
random_forest,naive,0.9970201404411931,0.009716253447225159,0.985,0.04893604849295929,0.9981249999999999,0.9962500000000001,0.014999999999999996,0.2926874956989195,0.04114112289971672,1537,0,0.0
linear_svc,naive,0.996031746031746,0.012214028001013765,0.9800000000000001,0.061558701125109236,0.9974999999999999,0.9949999999999999,0.019999999999999997,0.0317382602050202,0.004424929247761611,1537,0,0.0
ridge,naive,0.996031746031746,0.012214028001013765,0.9800000000000001,0.061558701125109236,0.9974999999999999,0.9949999999999999,0.019999999999999997,0.022146822900685946,0.0037108456992427817,1537,0,0.0
extra_trees,naive,0.996024407866513,0.010391757836312,0.9799999999999999,0.052314836378059684,0.9974999999999999,0.9950000000000001,0.019999999999999997,0.23255823954968946,0.04200603750505252,1537,0,0.0
sgd,naive,0.9940402808823862,0.013042904020191532,0.97,0.06569466853317861,0.9962499999999999,0.9925,0.029999999999999992,0.028072199896269013,0.0038912291012820786,1537,0,0.0
decision_tree,naive,0.9882921541285512,0.026171827980311323,0.9800000000000001,0.052314836378059684,0.990625,0.9877777777777776,0.019999999999999997,0.006020300046657212,0.0009673021515482106,1537,0,0.0
bernoulli_nb,naive,0.984137663880122,0.021302101362073004,0.9149999999999998,0.10894228312566052,0.9893749999999999,0.9787500000000001,0.08499999999999999,0.0036477395973633976,0.0009075726964510977,1537,0,0.0
embedding_lightgbm,naive,0.9781160027327814,0.021853867333483074,0.9100000000000001,0.11652874052533586,0.98375,0.9722482638888887,0.09,1.1799616896969383,0.001087699897470884,1537,0,0.0
complement_nb,naive,0.9755510551694856,0.02508079293482304,0.8750000000000002,0.125131509768092,0.9843750000000002,0.96875,0.125,0.0036509228491922842,0.0008358458493603393,1537,0,0.0
multinomial_nb,naive,0.9699842928538484,0.02394184977065239,0.8450000000000001,0.11909748329127612,0.9806250000000001,0.96125,0.15499999999999997,0.003956404150812887,0.0008826166988001205,1537,0,0.0
catboost,naive,0.9661472339778481,0.022327813044230788,0.885,0.10894228312566052,0.9756250000000002,0.9625434027777778,0.11499999999999999,0.6310170688506332,0.006603483298385981,1537,0,0.0
lightgbm,naive,0.9620147556020429,0.024622931606355695,0.8699999999999999,0.10809352675491622,0.9725000000000001,0.9576388888888889,0.12999999999999998,3.2534332043505856,0.005668529095419217,1537,0,0.0
knn,naive,0.9618749678856691,0.026155908037025104,0.8300000000000001,0.10809352675491624,0.9718750000000002,0.9510503472222224,0.17000000000000004,0.014633506300742737,0.017335000001185107,1537,0,0.0
xgboost,naive,0.9497331142991833,0.03243058066673374,0.8600000000000001,0.09947229183096801,0.9618749999999998,0.9455121527777777,0.13999999999999999,1.4023351230032859,0.005774779252533335,1537,0,0.0
llm_zero_shot,naive,0.7691103922662021,0.02803404964305101,0.8400000000000001,0.10954451150103321,0.7275,0.8009722222222221,0.16,4.085348336957395e-06,0.0014434978511417285,1537,0,0.0
llm_few_shot,naive,0.7009470685847001,0.04701090376926435,0.9100000000000001,0.08522416262267904,0.675625,0.7814930555555555,0.09,0.00039281244680751116,8.248150697800156,1537,29,0.018125
stratified_random,naive,0.2582016456983099,0.05359132432009271,0.14500000000000002,0.11459310165698641,0.29187500000000005,0.25869791666666664,0.8550000000000001,0.0001516124510089867,0.00020940849790349603,1537,0,0.0
uniform_random,naive,0.2437987012987013,0.05217956854469494,0.265,0.1268027892769755,0.259375,0.25250868055555553,0.735,0.00021237314940663054,0.00014023344701854512,1537,0,0.0
most_frequent,naive,0.14285714285714285,0.0,0.0,0.0,0.4000000000000001,0.25,1.0,0.00022068749967729673,0.00012351670593488962,1537,0,0.0
